Name,Size,Type,Subtype,Alignment,CR,XP,Source
Red Abishai,Medium,Fiend,devil,LE,19,22000,Mordenkainen's Tome of Foes pg. 162
Demilich (in lair),Tiny,Undead,,NE,20,24500,Monster Manual pg. 48
Ancient Brass Dragon,Gargantuan,Dragon,,CG,20,25000,Monster Manual pg. 104
Ancient White Dragon,Gargantuan,Dragon,,CE,20,25000,Monster Manual pg. 100
Drow Matron Mother,Medium,Humanoid,elf,NE,20,25000,Mordenkainen's Tome of Foes pg. 186
Leviathan,Gargantuan,Elemental,,N,20,25000,Mordenkainen's Tome of Foes pg. 198
Nightwalker,Huge,Undead,,CE,20,25000,Mordenkainen's Tome of Foes pg. 216
Pit Fiend,Large,Fiend,devil,LE,20,25000,Monster Manual pg. 77
Ancient Black Dragon,Gargantuan,Dragon,,CE,21,33000,Monster Manual pg. 87
Ancient Copper Dragon,Gargantuan,Dragon,,CG,21,33000,Monster Manual pg. 110
Astral Dreadnought,Gargantuan,Monstrosity,titan,Unaligned,21,33000,Mordenkainen's Tome of Foes pg. 117
Lich,Medium,Undead,,Any evil,21,33000,Monster Manual pg. 202
Molydeus,Huge,Fiend,demon,CE,21,33000,Mordenkainen's Tome of Foes pg. 134
Solar,Large,Celestial,,LG,21,33000,Monster Manual pg. 18
Ancient Bronze Dragon,Gargantuan,Dragon,,LG,22,41000,Monster Manual pg. 107
Ancient Green Dragon,Gargantuan,Dragon,,LE,22,41000,Monster Manual pg. 93
Lich (in lair),Medium,Undead,,Any evil,22,41000,Monster Manual pg. 202
Mind Flayer Lich,Medium,Undead,,Any evil,22,41000,Volo's Guide to Monsters pg. 172
Zaratan,Gargantuan,Elemental,,N,22,41000,Mordenkainen's Tome of Foes pg. 201
Ancient Blue Dragon,Gargantuan,Dragon,,LE,23,50000,Monster Manual pg. 90
Ancient Silver Dragon,Gargantuan,Dragon,,LG,23,50000,Monster Manual pg. 116
Elder Tempest,Gargantuan,Elemental,,N,23,50000,Mordenkainen's Tome of Foes pg. 200
Empyrean,Huge,Celestial,titan,CG or NE,23,50000,Monster Manual pg. 130
Kraken,Gargantuan,Monstrosity,titan,CE,23,50000,Monster Manual pg. 197
Ancient Gold Dragon,Gargantuan,Dragon,,LG,24,62000,Monster Manual pg. 113
Ancient Red Dragon,Gargantuan,Dragon,,CE,24,62000,Monster Manual pg. 97
Marut,Large,Construct,inevitable,LN,25,75000,Mordenkainen's Tome of Foes pg. 213
Tarrasque,Gargantuan,Monstrosity,titan,Unaligned,30,155000,Monster Manual pg. 286
